title,rank,rating,imdbscore,movie_directors
Avengers: Infinity War,1,PG-13,8.5,"Anthony Russo, Joe Russo"
Black Panther,2,PG-13,7.3,Ryan Coogler
Jurassic World: Fallen Kingdom,3,PG-13,6.2,J.A. Bayona
Incredibles 2,4,PG,7.7,Brad Bird
Aquaman,5,PG-13,7.2,James Wan
Bohemian Rhapsody,6,PG-13,8.1,Bryan Singer
Venom,7,PG-13,6.8,Ruben Fleischer
Mission: Impossible - Fallout,8,PG-13,7.8,Christopher McQuarrie
Deadpool 2,9,R,7.8,David Leitch
Fantastic Beasts: The Crimes of Grindelwald,10,PG-13,6.7,David Yates
Ant-Man and the Wasp,11,PG-13,7.1,Peyton Reed
Ready Player One,12,PG-13,7.5,Steven Spielberg
Operation Red Sea,13,N/A,6.8,Dante Lam
Detective Chinatown 2,14,R,6.1,Sicheng Chen
The Meg,15,PG-13,5.7,Jon Turteltaub
Ralph Breaks the Internet,16,PG,7.1,"Phil Johnston, Rich Moore"
Hotel Transylvania 3: Summer Vacation,17,PG,6.3,Genndy Tartakovsky
The Grinch,18,PG,6.3,"Yarrow Cheney, Scott Mosier"
Bumblebee,19,PG-13,6.9,Travis Knight
A Star Is Born,20,R,7.8,Bradley Cooper
Rampage,21,PG-13,6.1,Brad Peyton
Mamma Mia! Here We Go Again,22,PG-13,6.8,Ol Parker
Solo: A Star Wars Story,23,PG-13,7.0,Ron Howard
Spider-Man: Into the Spider-Verse,24,PG,8.5,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
Fifty Shades Freed,25,R,4.5,James Foley
The Nun,26,R,5.4,Corin Hardy
Monster Hunt 2,27,N/A,5.3,Raman Hui
Peter Rabbit,28,PG,6.6,Will Gluck
Mary Poppins Returns,29,PG,6.9,Rob Marshall
A Quiet Place,30,PG-13,7.6,John Krasinski
Green Book,31,PG-13,8.3,Peter Farrelly
Skyscraper,32,PG-13,5.8,Rawson Marshall Thurber
Oceans 8,33,N/A,N/A,N/A
Pacific Rim: Uprising,34,PG-13,5.6,Steven S. DeKnight
Maze Runner: The Death Cure,35,PG-13,6.2,Wes Ball
Tomb Raider,36,PG-13,6.3,Roar Uthaug
Halloween,37,R,7.8,John Carpenter
Crazy Rich Asians,38,PG-13,7.0,Jon M. Chu
Paddington 2,39,PG,7.9,Paul King
Smallfoot,40,PG,6.7,"Karey Kirkpatrick, Jason Reisig(co-director)"
Creed II,41,PG-13,7.2,Steven Caple Jr.
Christopher Robin,42,PG,7.3,Marc Forster
The Equalizer 2,43,R,6.7,Antoine Fuqua
The Nutcracker and the Four Realms,44,PG,5.5,"Lasse Hallström, Joe Johnston"
The Mule,45,R,7.1,Clint Eastwood
Insidious: The Last Key,46,PG-13,5.7,Adam Robitel
