rank,title,studio,worldwide,domestic,dom_pct,overseas,os_pct
1,Avengers: Infinity War,BV,2048400000.0,678800000.0,33.1,1369500000.0,66.9
2,Black Panther,BV,1346900000.0,700100000.0,52.0,646900000.0,48.0
3,Jurassic World: Fallen Kingdom,Uni.,1309500000.0,417700000.0,31.9,891800000.0,68.1
4,Incredibles 2,BV,1242800000.0,608600000.0,49.0,634200000.0,51.0
5,Aquaman,WB,1147800000.0,335100000.0,29.2,812700000.0,70.8
6,Bohemian Rhapsody,Fox,903200000.0,216400000.0,24.0,686700000.0,76.0
7,Venom (2018),Sony,855000000.0,213500000.0,25.0,641500000.0,75.0
8,Mission: Impossible - Fallout,Par.,791100000.0,220200000.0,27.8,571000000.0,72.2
9,Deadpool 2,Fox,778900000.0,318500000.0,40.9,460500000.0,59.1
10,Fantastic Beasts: The Crimes of Grindelwald,WB,653700000.0,159600000.0,24.4,494100000.0,75.6
11,Ant-Man and the Wasp,BV,622700000.0,216600000.0,34.8,406000000.0,65.2
12,Ready Player One,WB,582900000.0,137700000.0,23.6,445200000.0,76.4
13,Operation Red Sea,WGUSA,579200000.0,1500000.0,0.3,577700000.0,99.7
14,Detective Chinatown 2,WB,544100000.0,2000000.0,0.4,542100000.0,99.6
15,The Meg,WB,530200000.00000006,145400000.0,27.4,384800000.0,72.6
16,Ralph Breaks the Internet,BV,529100000.0,201100000.0,38.0,328000000.0,62.0
17,Hotel Transylvania 3: Summer Vacation,Sony,528600000.0,167500000.0,31.7,361100000.0,68.3
18,Dr. Seuss' The Grinch (2018),Uni.,511600000.0,270600000.0,52.9,240900000.0,47.1
19,Bumblebee,Par.,468000000.0,127200000.0,27.2,340800000.0,72.8
20,A Star is Born (2018),WB,434200000.0,215300000.0,49.6,218900000.0,50.4
21,Rampage (2018),WB (NL),428000000.0,101000000.0,23.6,327000000.0,76.4
22,Mamma Mia! Here We Go Again,Uni.,394700000.0,120600000.0,30.6,274100000.0,69.4
23,Solo: A Star Wars Story,BV,392900000.0,213800000.0,54.4,179200000.0,45.6
24,Spider-Man: Into The Spider-Verse,Sony,375500000.0,190200000.0,50.7,185200000.0,49.3
25,Fifty Shades Freed,Uni.,371900000.0,100400000.0,27.0,271500000.0,73.0
26,The Nun,WB (NL),365600000.0,117500000.0,32.1,248100000.0,67.9
27,Monster Hunt 2,LGF,361700000.0,706000.0,0.2,361000000.0,99.8
28,Peter Rabbit,Sony,351300000.0,115300000.0,32.8,236000000.0,67.2
29,Mary Poppins Returns,BV,349500000.0,172000000.0,49.2,177500000.0,50.8
30,A Quiet Place,Par.,340900000.0,188000000.0,55.1,152900000.0,44.9
31,Green Book,Uni.,318800000.0,85100000.0,26.7,233800000.0,73.3
32,Skyscraper,Uni.,304900000.0,68400000.0,22.4,236400000.0,77.6
33,Ocean's 8,WB,297700000.0,140200000.0,47.1,157500000.0,52.9
34,Pacific Rim Uprising,Uni.,290900000.0,59900000.0,20.6,231100000.0,79.4
35,Maze Runner: The Death Cure,Fox,288300000.0,58000000.0,20.1,230200000.0,79.9
36,Tomb Raider,WB,274700000.0,58300000.0,21.2,216400000.0,78.8
37,Halloween (2018),Uni.,254300000.0,159300000.0,62.7,94900000.0,37.3
38,Crazy Rich Asians,WB,238500000.0,174500000.0,73.2,64000000.0,26.8
