Date,TotalTrips,TotalTraveledMiles,TotalMembers,Total24hrPasses,Total3DayPasses
1/1/19,22145,44131,297823,2429,49
1/2/19,38249,58975,297908,1062,36
1/3/19,42181,62500,297976,969,31
1/4/19,44420,65739,298017,1173,33
1/5/19,17636,24326,298048,462,8
1/6/19,31764,50481,298094,1711,31
1/7/19,36928,52310,298152,514,18
1/8/19,41728,60469,298218,654,23
1/9/19,44882,63480,298263,646,23
1/10/19,39449,53225,298299,478,13
1/11/19,33196,44226,298331,465,23
1/12/19,25431,35133,298361,772,26
1/13/19,23020,33018,298399,700,18
1/14/19,35408,48021,298439,402,9
1/15/19,39538,54751,298470,511,19
1/16/19,40854,56553,298510,513,7
1/17/19,39417,53430,298546,463,14
1/18/19,34478,47215,298574,542,27
1/19/19,23933,34580,298595,865,28
1/20/19,14440,19131,298616,368,8
1/21/19,10392,11911,298632,141,5
1/22/19,28913,37788,298665,315,14
1/23/19,42028,59442,298692,526,10
1/24/19,20328,27931,298721,260,7
1/25/19,39298,54567,298748,621,21
1/26/19,26607,38634,298778,933,18
1/27/19,30338,48280,298828,1510,19
1/28/19,36173,49109,298878,448,13
1/29/19,31355,42066,298919,341,12
1/30/19,25496,33178,298947,263,8
1/31/19,18882,22917,298975,186,8
2/1/19,25289,31752,298998,255,11
2/2/19,22280,30802,299032,627,19
2/3/19,32274,52757,299103,1743,24
2/4/19,47049,73262,299172,1180,42
2/5/19,54710,87917,299249,1770,42
2/6/19,39616,55696,299296,754,27
2/7/19,43840,62728,299341,765,22
2/8/19,36964,52442,299383,864,22
2/9/19,24041,33607,299409,811,10
2/10/19,24434,35873,299449,935,6
2/11/19,39197,54362,299493,563,20
2/12/19,16044,22190,299521,150,4
2/13/19,35523,48870,299551,439,21
2/14/19,42313,61381,299589,773,26
2/15/19,47524,74286,299633,1590,58
2/16/19,31347,52760,299683,2030,58
2/17/19,24287,39660,299711,1439,30
2/18/19,26176,37500,299757,810,17
2/19/19,35226,49024,299810,595,10
2/20/19,20694,28763,299835,221,15
2/21/19,40082,60375,299871,961,37
2/22/19,42338,61956,299913,1097,49
2/23/19,31956,49887,299956,1635,28
2/24/19,24503,37473,299993,992,19
2/25/19,34736,47207,300029,495,14
2/26/19,38126,52805,300067,524,23
2/27/19,37028,48666,300097,464,27
2/28/19,38784,53031,300157,652,30
3/1/19,30242,41583,300183,522,26
3/2/19,18001,27381,300213,570,25
3/3/19,23240,35764,300264,1115,22
3/4/19,28424,39154,300319,563,23
3/5/19,37103,50155,300367,552,24
3/6/19,33287,42845,300409,376,27
3/7/19,35913,46582,300450,468,15
3/8/19,40416,55748,300503,852,32
3/9/19,38929,68739,300574,3010,35
3/10/19,18897,28056,300611,662,16
3/11/19,52412,80705,300691,1749,56
3/12/19,47214,66518,300757,1003,40
3/13/19,50121,71556,300825,1194,42
3/14/19,57476,86864,300904,1826,82
3/15/19,57517,95073,300987,2843,119
3/16/19,42144,74307,301086,3369,97
3/17/19,36826,64440,301187,2755,73
3/18/19,46535,68775,301278,1361,54
3/19/19,52997,78320,301381,1602,49
3/20/19,55396,83442,301476,1723,58
3/21/19,21248,27005,301520,342,14
3/22/19,35477,49691,301579,1076,51
3/23/19,37379,61407,301671,2693,74
3/24/19,50318,100843,301827,5896,79
3/25/19,53463,79824,301952,1562,64
3/26/19,55421,81425,302083,1715,49
3/27/19,54483,78975,302176,1583,56
3/28/19,58538,87465,302430,1966,87
3/29/19,59324,91975,302587,2573,103
3/30/19,66672,144759,302941,9151,135
3/31/19,32768,52486,303060,1916,52
4/1/19,51399,75072,303223,1466,76
4/2/19,57903,83399,303386,1483,73
4/3/19,67924,108780,303552,3013,79
4/4/19,66403,104268,303699,2633,87
4/5/19,34470,46930,303766,812,46
4/6/19,66532,143054,303958,8852,139
4/7/19,64713,138291,304216,8191,87
4/8/19,70514,123304,304525,3804,89
4/9/19,59336,86248,304677,1684,79
4/10/19,70988,112985,304865,2845,116
4/11/19,62430,93232,305003,2222,93
4/12/19,58010,92517,305134,2811,118
4/13/19,71500,159264,305362,10443,128
4/14/19,58474,123470,305584,7263,119
4/15/19,45663,71673,305722,1816,75
4/16/19,63323,106799,305906,3197,134
4/17/19,65249,109668,306077,3276,89
4/18/19,61568,98909,306205,2845,104
4/19/19,64939,120796,306365,5782,271
4/20/19,36785,68489,306453,4049,115
4/21/19,51869,114490,306647,7439,140
4/22/19,44112,71869,306827,3426,69
4/23/19,75443,143334,307082,5928,202
4/24/19,77736,144473,307320,5868,135
4/25/19,60834,101124,307484,3569,114
4/26/19,37121,55000,307578,1387,76
4/27/19,56442,111440,307737,7022,151
4/28/19,41204,68976,307862,3338,87
4/29/19,60801,98707,308020,2829,104
4/30/19,62668,99225,308192,2715,94
5/1/19,60904,93434,308383,2285,106
