,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,92,KI,1554359076,100,3.07,172.79,77.09,3.18
1,rawson,0,AR,1554359066,47,-43.3,-65.11,55.22,15.26
2,ancud,75,CL,1554357600,70,-41.87,-73.83,46.4,10.29
3,busselton,32,AU,1554358808,34,-33.64,115.35,70.0,25.88
4,kozhva,20,RU,1554359171,92,65.11,57.05,34.7,5.41
5,soure,40,PT,1554358906,75,40.06,-8.63,42.8,1.12
6,pangnirtung,0,CA,1554359273,32,66.15,-65.72,-9.05,2.95
7,egvekinot,0,RU,1554359273,83,66.32,-179.17,17.69,2.51
8,tiksi,80,RU,1554359101,79,71.64,128.87,30.92,10.33
9,lavrentiya,20,RU,1554359105,87,65.58,-170.99,22.28,13.47
10,hermanus,56,ZA,1554358591,93,-34.42,19.24,63.0,4.18
11,mar del plata,0,AR,1554359089,57,-46.43,-67.52,55.4,10.89
12,puerto ayora,36,EC,1554359084,100,-0.74,-90.35,78.26,5.53
13,rikitea,0,PF,1554358940,100,-23.12,-134.97,76.1,18.28
14,ushuaia,90,AR,1554354000,80,-54.81,-68.31,39.2,3.36
15,cape town,75,ZA,1554358691,82,-33.93,18.42,63.0,16.11
16,sampang,8,ID,1554359275,86,-7.54,109.46,85.64,8.77
17,clarksburg,90,US,1554359264,52,39.28,-80.34,44.6,2.62
18,manokwari,24,ID,1554358984,100,-0.87,134.08,80.96,13.35
19,general roca,75,AR,1554354000,76,-39.03,-67.58,57.2,8.05
20,hobart,0,AU,1554358881,42,-42.88,147.33,62.6,12.75
21,faanui,24,PF,1554359085,100,-16.48,-151.75,83.75,6.08
22,jamestown,0,AU,1554359071,35,-33.21,138.6,80.15,8.66
23,ilebo,0,CD,1554359277,91,-4.33,20.59,77.45,2.73
24,yulara,0,AU,1554357600,16,-25.24,130.99,91.4,13.87
25,coihaique,0,CL,1554357600,49,-45.58,-72.07,46.4,4.7
26,ajdabiya,36,LY,1554359156,54,30.75,20.22,53.15,11.23
27,bluff,48,AU,1554359129,38,-23.58,149.07,87.17,13.69
28,new norfolk,0,AU,1554358881,42,-42.78,147.06,62.6,12.75
29,narsaq,0,GL,1554357000,38,60.91,-46.05,23.0,10.29
30,adrar,75,DZ,1554357600,64,27.87,-0.29,68.0,24.16
31,ribeira grande,40,PT,1554357600,76,38.52,-28.7,57.2,17.22
32,bredasdorp,0,ZA,1554358549,77,-34.53,20.04,64.4,11.41
33,thoen,8,TH,1554359133,45,17.61,99.22,92.12,2.73
34,punta arenas,20,CL,1554358350,75,-53.16,-70.91,42.8,41.38
35,cherskiy,0,RU,1554359168,71,68.75,161.3,28.04,1.95
36,wasilla,1,US,1554359172,23,61.58,-149.44,39.2,29.97
37,kapaa,40,US,1554358992,69,22.08,-159.32,73.4,12.75
38,namibe,24,AO,1554359135,100,-15.19,12.15,77.72,6.87
39,sobolevo,24,RU,1554359236,66,54.43,31.9,40.1,5.75
40,nikolskoye,0,RU,1554358836,41,59.7,30.79,39.99,4.47
41,katherine,90,AU,1554357600,52,-14.47,132.26,89.6,13.87
42,henties bay,48,NA,1554357732,94,-22.12,14.28,57.99,5.99
43,mikuni,20,JP,1554354000,38,36.22,136.15,59.0,19.46
44,santa cruz,90,US,1554359282,82,36.97,-122.03,57.2,5.82
45,airai,36,TL,1554359134,60,-8.93,125.41,80.96,2.62
46,arraial do cabo,0,BR,1554358954,100,-22.97,-42.02,73.94,12.01
47,cabo san lucas,5,MX,1554358808,53,22.89,-109.91,75.0,8.05
48,hilo,20,US,1554358941,78,19.71,-155.08,75.0,9.17
49,along,8,IN,1554359284,61,28.17,94.8,69.17,2.06
50,chuy,88,UY,1554359151,96,-33.69,-53.46,64.94,4.97
51,guerrero negro,36,MX,1554359175,100,27.97,-114.04,55.04,7.76
52,solnechnyy,20,RU,1554359285,66,50.72,136.64,35.06,7.76
53,baoqing,0,CN,1554359285,29,46.32,132.2,49.82,7.65
54,brae,20,GB,1554357000,81,60.4,-1.35,44.6,19.46
55,nanortalik,0,GL,1554359191,100,60.14,-45.24,29.84,10.45
56,port macquarie,75,AU,1554359105,68,-31.43,152.91,78.01,11.41
57,bethel,1,US,1554357360,63,60.79,-161.76,33.8,25.28
58,georgetown,20,GY,1554354000,94,6.8,-58.16,75.2,4.7
59,hithadhoo,56,MV,1554359096,100,-0.6,73.08,81.14,4.97
60,provideniya,40,RU,1554355800,73,64.42,-173.23,26.6,15.66
61,tessalit,0,ML,1554359287,36,20.2,1.01,68.18,8.77
62,barrow,80,AR,1554359071,59,-38.31,-60.23,62.51,13.24
63,tilichiki,88,RU,1554358839,91,60.47,166.1,33.8,11.23
64,atuona,68,PF,1554359081,100,-9.8,-139.03,81.32,14.03
65,mahebourg,40,MU,1554359043,70,-20.41,57.7,86.0,6.93
66,mataura,88,NZ,1554358804,65,-46.19,168.86,53.01,4.0
67,coquimbo,0,CL,1554357600,82,-29.95,-71.34,57.2,4.7
68,kaitangata,100,NZ,1554359091,78,-46.28,169.85,51.01,5.99
69,nuevo progreso,40,US,1554359158,88,26.05,-97.95,72.0,10.29
70,sawtell,40,AU,1554358998,57,-30.38,153.1,78.8,11.41
71,kenai,1,US,1554359018,40,60.55,-151.26,39.2,11.41
72,veraval,0,FR,1554359096,99,49.65,0.71,34.0,11.41
73,najran,20,SA,1554357600,36,17.54,44.22,80.6,4.7
74,pevek,8,RU,1554359128,71,69.7,170.27,18.14,2.73
75,cotonou,20,BJ,1554354000,83,6.37,2.43,84.2,10.29
76,cayenne,75,GF,1554357600,88,4.94,-52.33,75.2,9.22
77,upernavik,68,GL,1554359088,87,72.79,-56.15,13.46,29.01
78,muros,40,ES,1554359155,93,42.77,-9.06,43.0,4.7
79,jieshou,88,CN,1554359291,58,33.26,115.35,68.27,6.08
80,bambous virieux,40,MU,1554359043,70,-20.34,57.76,86.0,6.93
81,avarua,80,CK,1554355800,78,-21.21,-159.78,77.0,2.24
82,caravelas,36,BR,1554359163,99,-17.73,-39.27,81.23,9.55
83,port blair,0,IN,1554359019,100,11.67,92.75,84.74,4.97
84,vestmannaeyjar,80,IS,1554359292,87,63.44,-20.27,39.65,18.72
85,thompson,20,CA,1554354000,65,55.74,-97.86,8.6,2.24
86,severo-kurilsk,92,RU,1554359123,93,50.68,156.12,34.16,5.86
87,ouadda,0,CF,1554359293,30,8.07,22.4,75.92,10.56
88,leningradskiy,0,RU,1554358986,81,69.38,178.42,8.24,16.15
89,lorengau,80,PG,1554359234,100,-2.02,147.27,82.67,7.43
90,kahului,40,US,1554359075,69,20.89,-156.47,75.2,17.22
91,kiunga,48,PG,1554359294,64,-6.12,141.3,90.14,2.95
92,port augusta,0,AU,1554358796,16,-32.49,137.76,91.4,11.41
93,roald,0,NO,1554359104,80,62.58,6.12,39.2,18.34
94,balabac,0,PH,1554359295,99,7.99,117.06,83.57,11.01
95,port alfred,12,ZA,1554358847,58,-33.59,26.89,72.0,3.0
96,ayr,40,GB,1554359207,86,55.46,-4.63,39.2,11.41
97,saint george,20,GR,1554359006,87,39.45,22.34,51.01,2.39
98,dikson,88,RU,1554359124,100,73.51,80.55,22.91,18.05
99,albany,20,US,1554359040,44,42.65,-73.75,39.0,16.11
100,malanje,80,AO,1554359296,90,-9.54,16.35,66.2,2.62
101,leh,48,IN,1554359189,89,34.16,77.58,9.95,2.17
102,sept-iles,90,CA,1554358604,92,50.2,-66.38,28.0,8.05
103,phillipsburg,1,US,1554359193,87,39.76,-99.32,46.4,10.29
104,vodnyy,0,RU,1554359297,75,63.51,53.41,36.5,4.63
105,turan,48,RU,1554359297,72,52.15,93.92,40.73,2.84
106,san cristobal,90,EC,1554358547,100,-0.39,-78.55,55.4,1.95
107,anta,75,PE,1554359155,87,-13.47,-72.15,50.0,1.12
